Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Kesseleik,1,Kessel 4,589...,"Steenfabriek de Wijs N.V., Kessel Eik",1952,Z,198591.65,364946.21,,Twee foto's,,,
Kesseleik,2,Kessel 3,589328,R.K.K. Kesseleik,1954,Z,199404.27,365942.82,,,,,
Kethel,3,Kethel 2,370332,R.K.K. Kethel,5693,ZW,86237.38,439947.07,kethel%2003.jpg,,,,
Klazienaveen,6,Emmen 29,189302,G.K. Klazienaveen,4581,,262749.02,527562.29,Klazienaveen%2007.jpg,,,,
Laren (Gld),4,Laren 1 (Gld),349312,H.K. Laren,15962,NW ,221944.96,467595.89,Lochem%2009.jpg,,,,
Loenen aan de Vecht,1,Loenen aan de Vecht 1,310112,H. K. Loenen (Ut),23 mei 1898,W,130087.16,469067.79,Loenen%2009.jpg,,,,
Marssum,6,Menaldumadeel 9,050…,Popta- Slot Marssum,,O,177833.02,580411.02,Marssum%2008.jpg,,,,
Marsum,2,Appingedam 4,70327,H.K. Marsum,1942,NNO,254085.79,595822.33,Marssum%2007.jpg,,,,
Nieuwvliet,8,Nieuwvliet 3,489303,Molen Nieuwvliet,,,21498.54,377487.82,Nieuwvliet%2008,,,,
Oosterhout (Nbr),8,Oosterhout ( Nbr)1,449101,R.K.K. Oosterhout (Nbr),12571,O,118561.37,406385.41,Oosterhout%20%28Nbr%29%20%2008.jpg,,,,
Oostrum,1,Venraij 15,529313,Noviciaat St. Paschalis,1973,,199854.75,393232.77,Oostrum%2001.jpg,,,,
Oostrum,2,Venraij 18,529…,R.K.K. Oostrum,1950,W,198744.32,393527.03,Oostrum%2002.jpg,,,,
Oostrum,3,Venraij 18,529…,R.K.K. Oostrum,1953,W,198744.32,393527.03,Oostrum%2003.jpg,,,,
Oostrum,4,Venraij 15,529313,Noviciaat St. Paschalis,1950,ZW,199854.75,393232.77,Oostrum%2004.jpg,,,,
Oostrum,5,Venraij 15,529313,Noviciaat St. Paschalis,1973,,199854.75,393232.77,Oostrum%2005.jpg,,,,
Oost-Souburg,7,Vlissingen 5,489…,Watertoren Oost-Souburg,14427,ZW,30676.85,386900.8,Oost-Souberg%2007.jpg,Oude Vlissingsche weg,,,
Partij,1,,629…,Zusters Slotklooster Partij,,,192465.1,313348.3,Partij%2001.jpg,,,,
Peer (B),3,Peer (B) 1,590101,R.K.K. Peer (B),22 oktober 1892,NW,159450.44,349258.23,Peer%20%28B%29%2003.jpg,,,,
Reijmerstok,4,Gulpen 1-1 of 9,629113,"N 648, huisnummer 2, Reijmerstok",19906,ZO,186472.26,312662.59,Reymerstok%2004.jpg,,,,
Reusel,1,,579309,Brandtoren Reusel,,,140475.76,372402.72,Reusel%2001.jpg,,,,
Reusel,2,Reusel 2,560302,R.K.K. Reusel,1951,,139408.7,374780.76,Reusel%2002.jpg,,,,
Reusel,3,Reusel 2,560302,R.K.K. Reusel,12246,N,139408.7,374780.76,Reusel%2003.jpg,,,,
Rotem (B),2,Rotem (B) 1,590304,R.K.K. Rotem (B),,,179561.8,340354.85,Rekem%20%28B%29%2002.jpg,,,,
Schoonebeek,1,Oud-Schoonebeek 3,220206,H.K. Schoonebeek,1968,,256270.56,520479.06,Schoonebeek%2005.jpg,,,,
Schoonebeek,2,Schoonebeek 1,220…,G.K. Schoonebeek,,NW,255928.1,520625.55,Schoonebeek%2006.jpg,,,,
Spijk (Zh),1,Heukelum 5,380309,H.K. Spijk,6397,NO,128899.49,429858.99,Spijk%20%28Zh%29%2001.jpg,,,,
Spijk (Zh),2,Heukelum 5,380309,H.K. Spijk,23132,,128899.49,429858.99,Spijk%20%28Zh%29%2002.jpg,,,,
Sweikhuizen,1,Schinnen 10,609…,R.K.K. Sweikhuizen,,,187269.57,329392.48,Sweikhuizen%2001.jpg,,,,
Tjerkgaast,1,,150312,H.K. Tjerkgaast,1974,,174584.32,546324.46,Tjerkgaas%27t%2001.jpg,,,,
Tjerkgaast,2,,150312,H.K. Tjerkgaast,1974,,174584.32,546324.46,Tjerkgaas%27t%2002.jpg,Twee foto's,,,
Tricht,1,Buurmalsen 3,399311,H.K. Tricht,6431,Z,146941.31,433421.62,Trich%27t%2001.jpg,,,,
Tricht,2,Buurmalsen 3,399311,H.K. Tricht,1974,,146941.31,433421.62,Trich%27t%2002.jpg,,,,
Tricht,3,Buurmalsen 3,399311,H.K. Tricht,1943,Z,146941.31,433421.62,Trich%27t%2003.jpg,,,,
Tricht,4,Buurmalsen 3,399311,H.K. Tricht,,,146941.31,433421.62,Trich%27t%2004.jpg,,,,
Tricht,5,Buurmalsen 3,399311,H.K. Tricht,1974,,146941.31,433421.62,Trich%27t%2005.jpg,,,,
Tricht,6,Buurmalsen 3,399311,H.K. Tricht,1974,,146941.31,433421.62,Trich%27t%2006.jpg,,,,
Tricht,7,Buurmalsen 3,399311,H.K. Tricht,1974,,146941.31,433421.62,Trich%27t%2007.jpg,,,,
Venhorst,2,Venhorst,450302,R.K.K. Venhorst,1954,ZW,179358.21,402235.1,Venhorst%2002.jpg,,,,
Walbeck (D),1,,520207,R.K.K. Walbeck (D.),1947,,214374.16,390050.97,Walbeck%20%28D%29%2001.jpg,,,,
Wateringen,4,Wateringen 3,379…,Kerk,12592,O,78630.1,449004,Wateringen%2007.jpg,Voor de restauratie in 1934,,,
Wieringermeer,7,Wieringermeer 4,140205,Lichtopstand Zeughoek,,,136575.39,539862.82,Wieringermeer%2010.jpg,,,,
Wieringerwerf,4,,140206,Silo NTM Wieringerwerf-Zuid,1972,,130147.1,539341.81,Wieringermeer%2009.jpg,,,,
Wijchen,1,Wijchen 4,450…,Klooster Franciscanessen,1957,O,180328.8,423896.76,Wijchen%2001.jpg,,,,
Wijchen,2,Wijchen 1,450210,Kasteel Wijchen,1974,,178476.96,424485.36,Wijchen%2002.jpg,,,,
Wijchen,3,Wijchen 1,450210,Kasteel Wijchen,1966,,178476.96,424485.36,Wijchen%2003.jpg,,,,
Wijchen,4,Wijchen 1,450210,Kasteel Wijchen,18749,ZO,178476.96,424485.36,Wijchen%2004.jpg,,,,
Wijchen,5,Wijchen 5,450…,Klooster Partiuncula,1957,ZO,180457.95,424121.9,Wijchen%2005.jpg,,,,
Wijchen,6,Wijchen 1,450210,Kasteel Wijchen,,Z,178476.96,424485.36,Wijchen%2006.jpg,,,,
Wijchen,7,Wijchen 1,450210,Kasteel Wijchen,25 september 1899,ZO,178476.96,424485.36,Wijchen%2007.jpg,,,,
Wijchen,8,Wijchen 1,450210,Kasteel Wijchen,,Z,178476.96,424485.36,Wijchen%2008.jpg,,,,
Wijchen,9,Wijchen 1,450210,Kasteel Wijchen,3560,O,178476.96,424485.36,Wijchen%2009.jpg,,,,
Wildervank,1,Wildervank 2,120203,H.K. Wildervank,1942,W,253681.22,566419.43,Wildervank%2001.jpg,,,,
Wissel,1,Epe 20,279...,"Wasserij 'de Wissel', Wissel",,O,193888.13,484062.87,,,,,
Wyck,1,Maastricht 8,610…,R.K.K. Wijck,11175,ZO,176923.22,317910.69,Wijck%2001.jpg,,,,
,,,,,,,,.jpg,,,,,
Nordhorn (Dld),3,Nordhorn (D) 3,299312,Ref. Kirche Nordhorn (D.),,,269333.7,494656.71,Nordhorn%20%28Dld%29%2003.jpg,,,,
