Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Harkstede,2,Slochteren 8,70305,H.K. Harkstede,1981,,242328.81,581485.03,Harkstede%2002.jpg,,,,
Harlingen,1,Harlingen 2,59201,H.K. Harlingen,1983,,157315.83,576246.32,Harlingen%2001.jpg,,,,
Harlingen,2,Harlingen 2,59201,H.K. Harlingen,29 juli 1926,Z,157315.83,576246.32,Harlingen%2002.jpg,,,,
Harlingen,3,Harlingen 2,59201,H.K. Harlingen,1960,,157315.83,576246.32,Harlingen%2003.jpg,,,,
Harlingen,4,Harlingen 1,059...,Steen RD,24 augustus 1897,ZW,156646.41,576347.85,Harlingen%2004.jpg,,,,
Harlingen,5,Harlingen 2,59201,H.K. Harlingen,1959,ZO,157315.83,576246.32,Harlingen%2005.jpg,,,,
Harmelen,1,Harmelen 1,310302,H.K. Harmelen,1964,,126008.47,455976.49,Harmelen%2001.jpg,,,,
Harmelen,2,Harmelen 1,310302,H.K. Harmelen,1964,,126008.47,455976.49,Harmelen%2002.jpg,,,,
Harmelen,3,Harmelen 1,310302,H.K. Harmelen,3 juli 1916,ZO,126008.47,455976.49,Harmelen%2003.jpg,,,,
Harmelen,4,Harmelen 1,310302,H.K. Harmelen,1976,NW,126008.47,455976.49,Harmelen%2004.jpg,,,,
Harmelen,5,Harmelen 1,310302,H.K. Harmelen,1975,NW,126008.47,455976.49,Harmelen%2005.jpg,,,,
Harmelen,6,Harmelen 2,310...,R.K.K. Harmelen,4 juli 1916,ZW,125819.49,455977.67,Harmelen%2006.jpg,,,,
Harreveld,1,Harreveld 1,419312,R.K.K. Harreveld,1974,,232548.34,443987.45,Harreveld%2001.jpg,,,,
Harreveld,2,Harreveld 1,419312,R.K.K. Harreveld,1974,,232548.34,443987.45,Harreveld%2002.jpg,,,,
Harreveld,3,Harreveld 1,419312,R.K.K. Harreveld,1938,W,232548.34,443987.45,Harreveld%2003.jpg,,,,
