Plaats,Volgnummer,Puntnaam,Puntnummer,Omschrijving,datum,richting vanuit,X,Y,Picture,Opmerkingen,Personen,Voertuigen,Nakijken
Aachen Stadtwald,1,Aachen Stadtwald,620X16,Aussichtsthurm Fahnenstange,23 augustus 1904,W,203380.44,305059.28,Aachen%20%28D%29%2001.jpg,,,x,
Aagtekerke,1,Aagtekerke,489320,H.K. Aagtekerke,augustus 1939,ZW,24808.42,396968.93,Aagtekerke%2001.jpg,,,,
Aaien,1,Bergen (L) 16,520...,R.K.Kapel,1950,N,200563.94,399802.14,Aaien%2001.jpg,Achterkant voertuig kenteken HZ 80842; Sint Antoniuskapel,,,
Aalburg,1,Wijk (NB) 3,440207,H.K. Aalburg,1946,Z,137327.9,419074.07,Aalburg%2001.jpg,Toren door oorlogsgeweld beschadigd; achterkant zelfde auto als op Aaien 01,,x,
Aalburg,2,Wijk (NB) 3,440207,H.K. Aalburg,1953,Z,137327.9,419074.07,Aalburg%2002.jpg,"Toren opgelapt, schade nog wel zichtbaar",,,
Aalden,1,Zweeloo 3,170306,Stoomzuivelfabriek en korenmalerij Aalden,1949,,245074.29,534606.04,Aalden%2001.jpg,,,,
Aalden,2,Zweeloo 3,170306,Coöp. Fabriek Zweeloo,1982,,245074.29,534606.04,Aalden%2002.jpg,,,,
Aalsmeer,1,Aalsmeer 3,259...,R.K.K. Paters Carmelieten,oktober 1935,Z,111655.7,475301.29,Aalsmeer%2001.jpg,,,,
Aalsmeer,2,Aalsmeer 1,259112,H.K. Aalsmeer,9 augustus 1900,NW,111229,476020.99,Aalsmeer%2002.jpg,,,,
Aalsmeer,3,Aalsmeer 1,259112,H.K. Aalsmeer,,,111229,476020.99,Aalsmeer%2003.jpg,,,,
Aalsmeer,4,Aalsmeer 1,259112,H.K. Aalsmeer,mei 1950,NO,111229,476020.99,Aalsmeer%2004.jpg,,,,
Aalsmeer,5,Aalsmeer 1,259112,H.K. Aalsmeer,mei 1950,W,111229,476020.99,Aalsmeer%2005.jpg,,,,
Aalsmeer,6,Aalsmeer 2,319325,Watertoren Aalsmeer,1976,Z,112006.79,474291.48,Aalsmeer%2006.jpg,,,,
Aalsmeer,7,Aalsmeer 2,319325,Watertoren Aalsmeer,,O,112006.79,474291.48,Aalsmeer%2007.jpg,,,,
Aalst (Gld),1,Brakel 6,440329,H.K. Aalst,,,136964.49,421534.24,Aalst%20%28Gld%29%2001.jpg,Voertuig achterkant zelfde als op Aaien 01,,,
Aalst (NBr),1,Aalst (NBr) 2,510304,R.K.K. Aalst,,,161241.36,378600.22,Aalst%20%28NBr%29%2001.jpg,,,,
Aalst (NBr),2,Aalst (NBr) 2,510304,R.K.K. Aalst,11895,N,161241.36,378600.22,Aalst%20%28NBr%29%2002.jpg,,,,
Aalten,1,Aalten 10,419205,Watertoren Aalten,,,236780.7,438895.75,Aalten%2001.jpg,,,,
Aalten,2,Aalten 1,419…,H.K. Aalten,,NW,237112.57,438259.2,Aalten%2002.jpg,,,,
Aalten,3,Aalten 1,419…,H.K. Aalten,17 augustus 1899,NW,237112.57,438259.2,Aalten%2003.jpg,is punt 166 inventaris 4129,,,
Aardenburg,1,Aardenburg 7,530...,R.K.K. Aardenburg,,,19327.94,366795.54,Aardenburg%2001.jpg,Blad 53,,,
Aardenburg,2,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",augustus 1957,Z,19684.79,366661.48,Aardenburg%2002.jpg,,,,
Aardenburg,3,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",7 juni 1952,ZW,19684.79,366661.48,Aardenburg%2003.jpg,,,,
Aardenburg,4,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",12-Sep-46,ZW,19684.79,366661.48,Aardenburg%2004.jpg,,,,
Aardenburg,5,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",,,19684.79,366661.48,Aardenburg%2005.jpg,,,,
Aardenburg,6,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",Sep-50,W,19684.79,366661.48,Aardenburg%2006.jpg,,,,
Aardenburg,7,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",juni 1952,ZW,19684.79,366661.48,Aardenburg%2007.jpg,,,x,
Aardenburg,8,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",,,19684.79,366661.48,Aardenburg%2008.jpg,,,,
Aardenburg,9,Aardenburg 1,530102,"H.K. Sint Baafskerk, Aardenburg",1 mei 1896,ZW,19684.79,366661.48,Aardenburg%2009.jpg,,,,
Aardswoud,1,Aardswoud 1,140306,H.K. Aartswoud,,,125414.99,528557.64,Aardswoud%2001.jpg,,,,
Aarlanderveen,1,Aarlanderveen 1,319313,R.K.K. Aarlanderveen,,O,109570.51,462519.61,Aarlanderveen%2001.jpg,,,,
Aarlanderveen,2,Aarlanderveen 1,319313,R.K.K. Aarlanderveen,,,109570.51,462519.61,Aarlanderveen%2002.jpg,,,,
Aarlanderveen,3,Aarlanderveen 2,319312,H.K. Aarlanderveen,,NW,109925.08,461583.03,Aarlanderveen%2003.jpg,,,,
Aarlanderveen,4,Aarlanderveen 2,319312,H.K. Aarlanderveen,1976,ZO,109925.08,461583.03,Aarlanderveen%2004.jpg,,,,
Aarle,1,Aarle 2,510319,Klooster Aarle,1973,,174270.52,393122.81,Aarle%2001.jpg,,,,
Aarle,2,Aarle 2,510319,Klooster Aarle,1973,,174270.52,393122.81,Aarle%2002.jpg,,,,
Aarle,3,Aarle 1,510318,R.K.K. Aarle,1973,,172463.33,391282.65,Aarle%2003.jpg,,,,
Aarle,4,Aarle 1,510318,R.K.K. Aarle,1973,,172463.33,391282.65,Aarle%2004.jpg,,,,
Aarle,5,Aarle 1,510318,R.K.K. Aarle,03-Sep-39,Z,172463.33,391282.65,Aarle%2005.jpg,,,,
Aarle,6,Aarle 2,510319,Klooster Aarle,17-Sep-31,ZO,174270.52,393122.81,Aarle%2006.jpg,,,,
Abbekerk,1,Abbekerk 1,140202,H.K. Abbekerk,2 augustus 1911,NW,130173.68,527293.68,Abbekerk%2001%20.jpg,,,,
Abbenbroek,1,Abbenbroek,379307,H.K. Abbenbroek,26 mei 1913,Z,76026.85,429506.99,Abbenbroek%2001.jpg,,,,
Abbenes,1,Abbenes,319322,H.K. Abbenes,,W,100591.26,472075.45,Abbenes%2001.jpg,,,,
Abcoude,1,Abcoude 1,250201,H.K. Abcoude,,,126801.13,476111.18,Abcoude%2001.jpg,,,,
Abcoude,2,Abcoude 2,250...,R.K.K. Abcoude,23 juli 1917,NW,126966.91,449816.79,Abcoude%2002.jpg,,,,
Abcoude,3,Abcoude 1,310320,H.K. Abcoude,27 juni 1908,W,126801.13,476111.18,Abcoude%2003.jpg,,,,
Abdissenbosch,1,Ubach over Worms 8,600302,R.K.K. Abdissenbosch,,,200485.55,326181.35,Abdissenbosch%2001.jpg,,,,
Achelse Kluis,1,Achelse Kluis (B),570306,Klooster Achelse Kluis (B.),1988,,161996.24,367829.65,Achelse%20Kluis%2001.jpg,,,,
Achelse Kluis,2,Achelse Kluis (B),570306,Klooster Achelse Kluis (B.),1988,,161996.24,367829.65,Achelse%20Kluis%2002.jpg,,,,
Achelse Kluis,3,Achelse Kluis (B),570306,Klooster Achelse Kluis (B.),,,161996.24,367829.65,Achelse%20Kluis%2003.jpg,,,,
Achelse Kluis,4,Achelse Kluis (B),570306,Klooster Achelse Kluis (B.),,,161996.24,367829.65,Achelse%20Kluis%2004.jpg,,,,
Achlum,1,Franekeradeel 3,100335,H.K. Achlum,1961,Z,161396.63,573476.2,Achlum%2001.jpg,,,,
Achlum,2,Franekeradeel 3,100335,H.K. Achlum,1941,ZO,161396.63,573476.2,Achlum%2002.jpg,,,,
Achter Drempt,1,Hummelo en Keppel 5,400325,R.K.K. Achter Drempt,1936,NO,209489.47,448525.44,Achter%20Drempt%2001.jpg,,,,
Achterveld,1,Stoutenburg 2,320204,R.K.K. Achterveld,,Z,162513.73,460758.28,Achterveld%2001.jpg,,,,
Achterveld,2,Stoutenburg 2,320204,R.K.K. Achterveld,1967,O,162513.73,460758.28,Achterveld%2002.jpg,,,,
Achthuizen,1,Ooltgensplaat 2,439307,R.K.K. Achthuizen,,,78567.09,411499.94,Achthuizen%2001.jpg,,,,
Achthuizen,2,Ooltgensplaat 2,439307,R.K.K. Achthuizen,Sep-48,O,78567.09,411499.94,Achthuizen%2002.jpg,,,,
Achthuizen,3,"Den Bommel 3, Oostflakkee 6",439802,Boerderij Krammerdijk B 87,Sep-48,ZO,76306.9,409346.03,Achthuizen%2003.jpg,,,,
Achtmaal,1,Zundert 8,490310,R.K.K. Achtmaal,1947,O,99170.51,385273.07,Achtmaal%2001.jpg,,,,
Achtmaal,2,Zundert 8,490310,R.K.K. Achtmaal,,,99170.51,385273.07,Achtmaal%2002.jpg,,,,
Achtmaal,3,Zundert 8,490310,R.K.K. Achtmaal,juli 1934,O,99170.51,385273.07,Achtmaal%2003.jpg,,,,
Achtmaal,4,Zundert 8,490310,R.K.K. Achtmaal,juli 1934,ZO,99170.51,385273.07,Achtmaal%2004.jpg,,,,
Acquoy,1,Beesd 3,380313,H.K. Acquoy,01-Sep-06,NW,137790.05,432315.13,Acquoy%2001.jpg,,,,
Adorp,1,Adorp 1,79321,H.K. Adorp,,NO,231524.61,588176.57,Adorp%2001.jpg,,,,
Aduard,1,Aduard 2,79317,G.K. Aduard,,NW,226541.39,586158.48,Aduard%2001.jpg,,,,
Aegum,1,Idaarderadeel 5,119321,Toren Aegum,,,184514.69,571620.56,Aegum%2001.jpg,,,,
Aegum,2,Idaarderadeel 5,119321,Toren Aegum,1960,,184514.69,571620.56,Aegum%2002.jpg,,,,
Aerdenhout,1,Aerdenhout 1,259311,Landgoed Kareol Watertoren,26 juni 1916,Z,100868.33,485840.11,Aerdenhout%2001.jpg,,,,
Afferden (GLD),1,,390342,"R.K.K. St. Viktor en Gezellen, Afferden",,,172160.68,432574.43,Afferden%20%28Gld%29%2001.jpg,,,,
Afferden (GLD),2,,390342,"R.K.K. St. Viktor en Gezellen, Afferden",,,172160.68,432574.43,Afferden%20%28Gld%29%2002.jpg,,,,
Afferden (GLD),3,,390342,"R.K.K. St. Viktor en Gezellen, Afferden",,,172160.68,432574.43,Afferden%20%28Gld%29%2003.jpg,,,,
Afferden (L),1,,469315,R.D. steen Afferden,Sep-58,Z,199370.54,406619.12,Afferden%20%28L%29%2001.jpg,,,,
Afferden (L),2,Bergen (L) 15,469...,R.K.K. Afferden,1950,O,191631.48,414016.31,Afferden%20%28L%29%2002.jpg,,,,
Afferden (L),3,,469310,Toren Afferden,augustus 1958,O,198073.93,405194.32,Afferden%20%28L%29%2003.jpg,Alleenstaande toren,,,
Ahaus (Dld),1,Ahaus 1,359111,R.K.K. Ahaus (Dld),12-Nov-71,,266000.02,455410.05,Ahaus%20%28Dld%29%2001.jpg,,,,
Ahaus (Dld),2,Ahaus 1,359111,R.K.K. Ahaus (Dld),12-Nov-71,,266000.02,455410.05,Ahaus%20%28Dld%29%2002.jpg,,,,
Ahaus (Dld),3,Ahaus 1,359111,R.K.K. Ahaus (Dld),12-Nov-71,,266000.02,455410.05,Ahaus%20%28Dld%29%2003.jpg,,,,
Ahaus (Dld),4,Ahaus 1,359111,R.K.K. Ahaus (Dld),12-Nov-71,,266000.02,455410.05,Ahaus%20%28Dld%29%2004.jpg,,,,
Ahaus (Dld),5,Ahaus 1,359111,R.K.K. Ahaus (Dld),1970,,266000.02,455410.05,Ahaus%20%28Dld%29%2005.jpg,,,,
Ahaus (Dld),6,Ahaus 1,359111,R.K.K. Ahaus (Dld),1986,,266000.02,455410.05,Ahaus%20%28Dld%29%2006.jpg,,,,
Ahaus (Dld),7,Ahaus 1,359111,R.K.K. Ahaus (Dld),12-Nov-71,W,266000.02,455410.05,Ahaus%20%28Dld%29%2007.jpg,,,,
Ahaus (Dld),8,Ahaus 1,359111,R.K.K. Ahaus (Dld),1986,,266000.02,455410.05,Ahaus%20%28Dld%29%2008.jpg,,,,
Ahaus (Dld),9,Ahaus 1,359111,R.K.K. Ahaus (Dld),1986,,266000.02,455410.05,Ahaus%20%28Dld%29%2009.jpg,,,,
Ahaus (Dld),10,Ahaus 1,359111,R.K.K. Ahaus (Dld),1986,,266000.02,455410.05,Ahaus%20%28Dld%29%2010.jpg,,,,
Ahaus (Dld),11,Ahaus 1,359111,R.K.K. Ahaus (Dld),,,266000.02,455410.05,Ahaus%20%28Dld%29%2011.jpg,,,,
Akersloot,1,Akersloot 2,199337,H.K. Akersloot,,,110380.71,508339.83,Akersloot%2001.jpg,,,,
Akersloot,2,Akersloot 1,199205,R.K.K. Akersloot,23 juli 1910,,110860.05,508470.76,Akersloot%2002.jpg,,,,
Akersloot,3,Akersloot 2,199337,H.K. Akersloot,1979,,110380.71,508339.83,Akersloot%2003.jpg,,,,
Akkerwoude,1,Dantumadeel 18,69317,H.K. Akkerwoude,1960,NW,194384.37,589515.2,Akkerwoude%2001.jpg,,,,
Akkerwoude,2,Dantumadeel 18,69317,H.K. Akkerwoude,1960,NW,194384.37,589515.2,Akkerwoude%2002.jpg,,,,
Akkerwoude,3,Dantumadeel 18,69317,H.K. Akkerwoude,1953,N,194384.37,589515.2,Akkerwoude%2003.jpg,,,,
Akkerwoude,4,Dantumadeel 18,69317,H.K. Akkerwoude,1960,NO,194384.37,589515.2,Akkerwoude%2004.jpg,,,,
Akkrum,1,Akkrum 1,119315,H.K. Akkrum,1973,,184922.46,562590.33,Akkrum%2001.jpg,,,,
Akkrum,2,Akkrum 1,119315,H.K. Akkrum,03-Sep-26,,184922.46,562590.33,Akkrum%2002.jpg,,,,
Akkrum,3,Akkrum 1,119315,H.K. Akkrum,,,184922.46,562590.33,Akkrum%2003.jpg,,,,
Akkrum,4,Akkrum 1,119315,H.K. Akkrum,1960,,184922.46,562590.33,Akkrum%2004.jpg,,,,
Akmarijp,1,Utingeradeel 6,119311,Zuivelfabriek Akmarijp,1953,O,181887.21,557802.38,Akmarijp%2001.jpg,,,,
Albergen,1,Albergen 1,280323,Nieuwe kerk Albergen,,,248785.36,488136.23,Albergen%2001.jpg,,,,
Alblasserdam,1,Alblasserdam 1,389314,H.K. Alblasserdam,1964,,104637.81,430656.52,Alblasserdam%2001.jpg,,,,
Alblasserdam,2,Alblasserdam 1,389314,H.K. Alblasserdam,27 juni 1916,ZO,104637.81,430656.52,Alblasserdam%2002.jpg,,,,
Alblasserdam,3,Alblasserdam 1,389314,H.K. Alblasserdam,27 juni 1952,ZO,104637.81,430656.52,Alblasserdam%2003.jpg,,,,
Alblasserdam,4,Alblasserdam 1,389314,H.K. Alblasserdam,1964,,104637.81,430656.52,Alblasserdam%2004.jpg,,,,
Alblasserdam,5,Alblasserdam 1,389314,H.K. Alblasserdam,1964,,104637.81,430656.52,Alblasserdam%2005.jpg,,,,
Alblasserdam,6,Alblasserdam 3,389313,Kerk Alblasserdam,1 augustus 1916,Z,103829.59,431186.3,Alblasserdam%2006.jpg,,,,
Alblasserdam,7,Alblasserdam 2,389315,Alleenstaande toren Alblasserdam,28 juni 1916,W,105461.47,430614.61,Alblasserdam%2007.jpg,,,,
Alblasserdam,8,Alblasserdam 2,389315,Alleenstaande toren Alblasserdam,1964,,105461.47,430614.61,Alblasserdam%2008.jpg,,,,
Alblasserdam,9,Alblasserdam 4,389311,Watertoren Alblasserdam,22 augustus 1907,NW,105062.64,429335.68,Alblasserdam%2009.jpg,,,,
Alem,1,Alem 1,459325,R.K.K. Alem,,,151691.53,422213.27,Alem%2001.jpg,,,,
Alem,2,Alem 1,459325,R.K.K. Alem,5 juli 1904,ZO,151691.53,422213.27,Alem%2002.jpg,,,,
Alem,3,Alem 1,459325,R.K.K. Alem,juli 1936,NO,151691.53,422213.27,Alem%2003.jpg,,,,
Alem,4,Alem 1,459325,R.K.K. Alem,juli 1936,NW,151691.53,422213.27,Alem%2004.jpg,,,,
Alkmaar,1,Alkmaar 13,199802,H.K. Grote kerk Alkmaar,,,111449.03,516309.94,Alkmaar%2001.jpg,,,,
Alkmaar,2,Alkmaar 9,199...,Kapel R.K. begraafplaats (Stichting St. Barbara),,,110655.55,515460.56,Alkmaar%2002.jpg,,,,
Alkmaar,3,Alkmaar 15,199...,Accijnstoren Alkmaar,,,112179.96,515842.73,Alkmaar%2003.jpg,,,,
Alkmaar,4,Alkmaar 7,199...,R.K.K. H. Laurentius,,,112010.91,516007.4,Alkmaar%2004.jpg,,,,
Alkmaar,5,Alkmaar 5,199...,H.K. De Kapel Alkmaar,,,111874.18,515958.14,Alkmaar%2005.jpg,,,,
Alkmaar,6,Alkmaar 16,199...,Nassauplein,,,110905.56,516269.61,Alkmaar%2006.jpg,,,,
Alkmaar,7,Alkmaar 18,199...,"G.K. Alkmaar, Kweerenpad",,,111772.91,515789.69,Alkmaar%2007.jpg,,,,
Alkmaar,8,Alkmaar 19,199...,"Badhuis Alkmaar, Molenbuurt",,,111422.36,516436.87,Alkmaar%2008.jpg,,,,
Alkmaar,9,Alkmaar 20,199...,Hof van Sonoy Alkmaar,,,111719.44,516278.29,Alkmaar%2009.jpg,"Ged. Nieuwe Sloot, Oude mannenhuis",,,
Alkmaar,10,Alkmaar 14,199...,"Raadhuis Alkmaar, Langestraat",,,111587.1,516233.12,Alkmaar%2010.jpg,,,,
Alkmaar,11,Alkmaar 12,199...,"St. Elisabethsziekenhuis, van Everdingenstraat",,,111251.74,515500.7,Alkmaar%2011.jpg,,,,
Alkmaar,12,Alkmaar 21,199...,"Huize Westerlicht, Kruislaan",,,110746.17,515719.25,Alkmaar%2012.jpg,,,,
Alkmaar,13,Alkmaar 4,199801,Watertoren,oktober 1936,W,110951.48,516758.98,Alkmaar%2013.jpg,,,,
Alkmaar,14,Alkmaar 17,199...,R.K.K. H. Dominicus,18 augustus 1837,ZO,111650.43,516113.27,Alkmaar%2014.jpg,"De Laat, Gesloopt in 1985",,,
Alkmaar,15,Alkmaar 16,199...,"Piusstichting, Nassauplein",16 augustus 1837,ZO,110905.56,516269.61,Alkmaar%2015.jpg,,,,
Alkmaar,16,Alkmaar 11,199...,RK Lyceum,16 augustus 1837,ZW,111540,515600,Alkmaar%2016.jpg,,,,
Alkmaar,17,Alkmaar 8,199...,R.K.K. H. Joseph,,,111198.19,516174.51,Alkmaar%2017.jpg,,,,
Alkmaar,18,Alkmaar 1,199113,Waagtoren,mei 1950,NO,111867.501,516171.311,Alkmaar%2018.jpg,Restauratie toren,,,
Alkmaar,19,,199335,Straalzender Alkmaar,1982,,113052.54,514650.65,Alkmaar%2019.jpg,,,,
Alkmaar,20,,199335,Straalzender Alkmaar,1976,,113052.54,514650.65,Alkmaar%2020.jpg,,,,
Alkmaar,21,Alkmaar 22,199323,Murmellius gymnasium Alkmaar,1982,,111083.82,516499.1,Alkmaar%2021.jpg,,,,
Alkmaar,22,Alkmaar 22,199323,Murmellius gymnasium Alkmaar,,,111083.82,516499.1,Alkmaar%2022.jpg,,,,
Alkmaar,23,Alkmaar 1 ,199113,Waagtoren,4 oktober 1911,O,111867.501,516171.311,Alkmaar%2023.jpg,,,,
Allardsoog,1,Norg 6,110323,Landbouwhuishoudschool,1952,ZW,217018.6,567478.21,Allardsoog%2001.jpg,,,,
Almelo,1,Almelo 1,280204,H.K. Almelo,,,242108.46,486381.05,Almelo%2001.jpg,Foto van voor de restauratie,,,
Almelo,2,Almelo 1,280204,H.K. Almelo,21  juli 1904,ZW,242108.46,486381.05,Almelo%2002.jpg,,,,
Almelo,3,,289320,Silo Dollegoor Almelo,,,239958,487252.32,Almelo%2003.jpg,,,,
Almelo,4,Almelo 15,280803,R.K.K. Almelo,,ZO,242030.84,486537.34,Almelo%2004.jpg,Kleutertjes op stoep,,,
Almelo,5,,289320,Silo Dollegoor Almelo,,,239958,487252.32,Almelo%2005.jpg,,,,
Almelo,6,Almelo 1,280204,H.K. Almelo,21  juli 1904,ZW,242108.46,486381.05,Almelo%2006.jpg,,,,
Almen,1,Almen 1,330204,H.K. Almen,1969,,217607.18,463624.39,Almen%2001.jpg,,,,
Almen,2,Almen 1,330204,H.K. Almen,22 juni 1905,ZO,217607.18,463624.39,Almen%2002.jpg,,,,
Almkerk,1,Almkerk 2,440209,Watertoren Uppelse hoek,1950,O,124164.58,422420.73,Almkerk%2001.jpg,,,,
Almkerk,2,Almkerk 10,440325,H.K. Almkerk,1953,N,125956.73,420445.42,Almkerk%2002.jpg,,,,
Almkerk,3,Almkerk 5,440802,Graanmalerij Almkerk,,NO,122970.56,419384.82,Almkerk%2003.jpg,,,,
Almkerk,4,Almkerk 6,440...,Zuivelfabriek Almkerk,,Z,123049.95,420082.98,Almkerk%2004.jpg,,,,
Almkerk,5,Almkerk 7,440801,G.K. Almkerk,,O,125272.88,420288.68,Almkerk%2005.jpg,,,,
Almkerk,6,Almkerk 2,440209,"Watertoren Uppelse hoek, Almkerk",juli 1935,O,124164.58,422420.73,Almkerk%2006.jpg,,,,
Almkerk,7,Almkerk 1,440...,H.K. Almkerk,juli 1935,ZO,125928.22,420426.97,Almkerk%2007.jpg,,,,
Almkerk,8,Almkerk 1,440...,H.K. Almkerk,,NO,125928.22,420426.97,Almkerk%2008.jpg,,,,
Alphen (Nbr),1,Alphen 1,500206,R.K.K. Alphen,12 augustus 1905,N,124933,388475.07,Alphen%20%28Nbr%29%2001.jpg,,,,
Alphen (Nbr),2,Alphen en Riel 1,500206,R.K.K. Alphen,07-Sep-33,Z,124933,388475.07,Alphen%20%28Nbr%29%2002.jpg,,,,
Alphen (Nbr),3,Alphen 1,500206,R.K.K. Alphen,07-Sep-33,N,124933,388475.07,Alphen%20%28Nbr%29%2003.jpg,,,,
Alphen ad Rijn,1,Alphen 5,500...,St. Joseph- gesticht,5 juni 1917,ZO,105312.18,460053.02,Alphen%20ad%20Rijn%2001.jpg,,,,
Alphen ad Rijn,2,Alphen 4,500...,Chr.Ger. Kerk Alphen,6 juni 1917,ZW,105449.28,459961.23,Alphen%20ad%20Rijn%2002.jpg,,,,
Alphen ad Rijn,3,,319203,R.K.K. Alphen a/d Rijn,1987,,105244.33,460221.75,Alphen%20ad%20Rijn%2003.jpg,,,,
Alphen ad Rijn,4,,319203,R.K.K. Alphen a/d Rijn,1987,,105244.33,460221.75,Alphen%20ad%20Rijn%2004.jpg,,,,
Alphen ad Rijn,5,Alphen 2,319...,Watertoren Alphen,10 juni 1910,,104823.66,461618.68,Alphen%20ad%20Rijn%2005.jpg,,,,
Alteveer (Gn),1,Onstwedde 10,139810,Aardappelmeelfabriek,,ZO,262788.19,564297.6,Alteveer%20%28Gn%29%2001.jpg,,,,
Alteveer (Zuid Drenthe),1,Hoogeveen 10,229311,G.K. Alteveer,,O,229513.01,521570.37,Alteveer%20%28Zuid%20Drenthe%29%2001.jpg,,,,
Alteveer (Zuid Drenthe),2,Hoogeveen 10,229311,G.K. Alteveer,19 mei 1960,O,229513.01,521570.37,Alteveer%20%28Zuid%20Drenthe%29%2002.jpg,,,,
Alteveer (Zuid Drenthe),3,Hoogeveen 10,229311,G.K. Alteveer,,,229513.01,521570.37,Alteveer%20%28Zuid%20Drenthe%29%2003.jpg,,,,
Altforst,1,Appeltern 7,390312,R.K.K. Altforst,1980,,167249.75,428830.11,Altforst%2001.jpg,,,,
Altforst,2,Appeltern 7,390312,R.K.K. Altforst,,ZW,167249.75,428830.11,Altforst%2002.jpg,,,,
Altforst,3,Appeltern 7,390312,R.K.K. Altforst,,ZW,167249.75,428830.11,Altforst%2003.jpg,,,,
Altweerterheide,1,Weert 8,570304,R.K.K. Altweerterheide,augustus 1954,ZW,175428.84,359051.18,Altweerterheide%2001.jpg,,,,
Ambt Delden,1,Ambt Delden 3,280...,Chem. Fabriek Servo,20 juni 1944,N,243210.43,475146.03,Ambt%20Delden%2001.jpg,,,,
Ambt Delden,2,Ambt Delden 5,340314,Hoogspanningsmast,6 oktober 1943,ZO,240561.1,474103.15,Ambt%20Delden%2002.jpg,,,,
Ambt Vollenhove,1,Ambt Vollenhove 1,219319,Gemaal Ettelandse kolk,,W,194611.29,524229.35,Ambt%20Vollenhove%2001.jpg,,,,
Amby,1,Amby 1,610309,R.K.K. Amby,12 augustus 1930,Z,179283.15,319185.96,Amby%2001.jpg,,,,
Ameide,1,Ameide 1,380201,H.K. Ameide,1963,,125769.49,441068.17,Ameide%2001.jpg,,,,
Ameide,2,Ameide 1,380201,H.K. Ameide,,,125769.49,441068.17,Ameide%2002.jpg,,,,
Ameide,3,Ameide 1,380201,H.K. Ameide,1963,,125769.49,441068.17,Ameide%2003.jpg,,,,
Ameide,4,Ameide 1,380201,H.K. Ameide,1963,,125769.49,441068.17,Ameide%2004.jpg,,,,
Ameide,5,Ameide 1,380201,H.K. Ameide,1963,,125769.49,441068.17,Ameide%2005.jpg,,,,
Ameide,6,Ameide 1,380201,H.K. Ameide,1982,,125769.49,441068.17,Ameide%2006.jpg,,,,
Ameide,7,Ameide 1,380201,H.K. Ameide,30 augustus 1917,Z,125769.49,441068.17,Ameide%2007.jpg,,,,
Ameide,8,Ameide 1,380201,H.K. Ameide,1956,ZW,125769.49,441068.17,Ameide%2008.jpg,,,,
Ameide,9,Ameide 1,380201,H.K. Ameide,,,125769.49,441068.17,Ameide%2009.jpg,,,,
Ameland,1,Ameland 1,29101,Pijler de Kaap,17 juli 1925,N,181177.66,607993.84,Ameland%2001.jpg,,,,
America,1,Horst 9,529306,R.K.K. America,1973,,196151.93,383193.17,America%2001.jpg,,,,
America,2,Horst 9,529306,R.K.K. America,1973,,196151.93,383193.17,America%2002.jpg,,,,
America,3,Horst 9,529306,R.K.K. America,1951,Z,196151.93,383193.17,America%2003.jpg,,,,
America,4,Horst 9,529306,R.K.K. America,,Z,196151.93,383193.17,America%2004.jpg,,,,
Amerongen,1,Amerongen 5,390207,Steen Amerongseberg,,ZW,161590.81,446630.14,Amerongen%2001.jpg,,,,
Amerongen,2,Amerongen 4,399322,De Natewisch,,W,155283.89,443404.27,Amerongen%2002.jpg,,,,
Amerongen,3,Amerongen 1,390305,H.K. Amerongen,,Z,160093.75,445501.94,Amerongen%2003.jpg,,,,
Amerongen,4,Amerongen 1,390305,H.K. Amerongen,,,160093.75,445501.94,Amerongen%2004.jpg,,,,
Amerongen,5,Amerongen 5,390207,Steen Amerongseberg,1980,,161590.81,446630.14,Amerongenseberg%2001.jpg,,,,
Amerongen,6,Amerongen 5,390207,Steen Amerongseberg,1980,,161590.81,446630.14,Amerongenseberg%2002.jpg,,,,
Amerongen,7,Leersum 5,399…,Kasteel Zuijlestein,1941,W,158808.98,445825.21,Amerongen%2007.jpg,,,,
Amersfoort,1,Amersfoort 7,329X22,"H.K. Onze Lieve Vrouwe ter Eem, Leusdenseweg",,ZW,154667.36,461840.36,Amersfoort%2001.jpg,Nieuwe Kerk Leusderweg 110,,,
Amersfoort,2,Amersfoort 15,329...,"Pensionaat O.L.Vr. ter Eem, Daan Fockemalaan",,,152654.21,461906.19,Amersfoort%2002.jpg,,,,
Amersfoort,3,Amersfoort 10,329342,Pensionaat St Louis,oktober 1958,NW,152590.12,461093.1,Amersfoort%2003.jpg,,,,
Amersfoort,4,Amersfoort 10,329342,Pensionaat St Louis,mei 1941,NNW,152590.12,461093.1,Amersfoort%2004.jpg,,,,
Amersfoort,5,Amersfoort 2,329X27,H. K. Stang onder kruis,,,155194.41,463158.97,Amersfoort%2005.jpg,,,,
Amersfoort,6,Amersfoort 29,329X03,School Zonnebloemstraat,,ZO,152583.77,463639.8,Amersfoort%2006.jpg,,,,
Amersfoort,7,Amersfoort 26,329...,Erdalfabriek Brabantschestraat,,W,154404.35,463610,Amersfoort%2007.jpg,,,,
